OBJECTID,BoroCode,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroName,NTACode,NTAName,CounDist,Postcode,BoroCD,CT2010,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
1,3,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/W/BROOKLYN AV,40.65831,-73.94406,"999,770.79","179,121.43",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,"3,081,000",0,3048110001,867,"Brooklyn
(40.65831000000, -73.94406000000)"
2,3,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/N/O/BROOKLYN AV,40.658,-73.94723,"998,891.33","179,007.94",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,"3,081,000",0,0,868,"Brooklyn
(40.65800000000, -73.94723000000)"
3,3,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/N/O/BROOKLYN AV,40.658,-73.94723,"998,891.33","179,007.94",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,"3,081,000",0,0,869,"Brooklyn
(40.65800000000, -73.94723000000)"
4,3,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/S/O BROOKLYN AV,40.65743,-73.94716,"998,910.87","178,800.28",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,"3,081,000",3107446,3048200001,870,"Brooklyn
(40.65743000000, -73.94716000000)"
5,3,BK,Limited Free,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/S/O/BROOKLYN AV,40.65743,-73.94716,"998,910.87","178,800.28",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,"3,081,000",3107446,3048200001,871,"Brooklyn
(40.65743000000, -73.94716000000)"
6,2,BX,Limited Free,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD 1/P/W/O DWIGHT PL,40.846314,-73.824472,"1,032,813.70","247,661.09",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX10,Pelham Bay-Country Club-City Island,13,10465,210,27401,"2,027,401",0,0,872,"Bronx
(40.84631400000, -73.82447200000)"
7,2,BX,Limited Free,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD 1/P/W/O KENNELLWORTH PL,40.847596,-73.82223,"1,033,433.05","248,129.43",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX99,park-cemetery-etc-Bronx,13,10465,228,276,"2,027,600",0,0,875,"Bronx
(40.84759600000, -73.82223000000)"
8,2,BX,Limited Free,ALTICEUSA,Pelham Bay Park,C/O MIDDLETOWN RD  /OHM AV,40.848159,-73.821071,"1,033,753.29","248,335.20",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX10,Pelham Bay-Country Club-City Island,13,10465,210,27401,"2,027,401",0,0,876,"Bronx
(40.84815900000, -73.82107100000)"
9,2,BX,Limited Free,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD   1/P/W/O STADIUM AV,40.848322,-73.82075,"1,033,841.97","248,394.77",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX10,Pelham Bay-Country Club-City Island,13,10465,210,27401,"2,027,401",0,0,877,"Bronx
(40.84832200000, -73.82075000000)"
10,2,BX,Limited Free,ALTICEUSA,Pelham Bay Park,IN PARK POLE 4/P/N/O  STADIUM AV,40.849233,-73.82105,"1,033,758.30","248,726.51",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX99,park-cemetery-etc-Bronx,13,10465,228,276,"2,027,600",0,2043350001,878,"Bronx
(40.84923300000, -73.82105000000)"
11,2,BX,Limited Free,ALTICEUSA,Pelham Bay Park,IN PARK POLE 4/P/N/O  STADIUM AV,40.849196,-73.821055,"1,033,756.94","248,713.03",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX99,park-cemetery-etc-Bronx,13,10465,228,276,"2,027,600",0,2043350001,879,"Bronx
(40.84919600000, -73.82105500000)"
12,2,BX,Limited Free,ALTICEUSA,Pelham Bay Park,IN PARK POLE 6/P/N/O  STADIUM AV,40.850208,-73.821752,"1,033,563.36","249,081.34",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX99,park-cemetery-etc-Bronx,13,10465,228,276,"2,027,600",0,2043350001,880,"Bronx
(40.85020800000, -73.82175200000)"
13,2,BX,Limited Free,ALTICEUSA,Pelham Bay Park,IN PARK POLE 6/P/N/O  STADIUM AV,40.850232,-73.821777,"1,033,556.43","249,090.07",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX99,park-cemetery-etc-Bronx,13,10465,228,276,"2,027,600",0,2043350001,881,"Bronx
(40.85023200000, -73.82177700000)"
14,2,BX,Limited Free,ALTICEUSA,Poe Park,right side of bandshell,40.864437,-73.894553,"1,013,416.31","254,232.90",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX05,Bedford Park-Fordham North,15,10458,207,39901,"2,039,901",0,2031550001,882,"Bronx
(40.86443700000, -73.89455300000)"
15,2,BX,Limited Free,ALTICEUSA,Poe Park,left side of bandshell,40.864458,-73.895115,"1,013,260.85","254,240.36",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX05,Bedford Park-Fordham North,15,10458,207,39901,"2,039,901",0,2031550001,883,"Bronx
(40.86445800000, -73.89511500000)"
16,2,BX,Limited Free,ALTICEUSA,Poe Park,Playground area,40.864781,-73.894626,"1,013,395.96","254,358.21",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX05,Bedford Park-Fordham North,15,10458,207,39901,"2,039,901",0,2031550001,884,"Bronx
(40.86478100000, -73.89462600000)"
17,2,BX,Limited Free,ALTICEUSA,Poe Park,North area facing Poe cottage,40.865167,-73.894227,"1,013,506.16","254,498.97",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX05,Bedford Park-Fordham North,15,10458,207,39901,"2,039,901",0,2031550001,885,"Bronx
(40.86516700000, -73.89422700000)"
18,3,BK,Limited Free,ALTICEUSA,Prospect Park,SNACK BAR  NORTH WEST CORNER,40.650721,-73.968489,"992,993.85","176,353.16",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,40,11226,314,177,"3,017,700",3411682,3050510001,886,"Brooklyn
(40.65072100000, -73.96848900000)"
19,3,BK,Limited Free,ALTICEUSA,Prospect Park,SNACK BAR  SOUTH WEST CORNER,40.65068,-73.96846,"993,001.91","176,338.23",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,40,11226,314,177,"3,017,700",3411682,3050510001,887,"Brooklyn
(40.65068000000, -73.96846000000)"
20,3,BK,Limited Free,ALTICEUSA,Prospect Park,SNACK BAR  NORTH EASTCORNER,40.650738,-73.968429,"993,010.50","176,359.36",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,40,11226,314,177,"3,017,700",3411682,3050510001,888,"Brooklyn
(40.65073800000, -73.96842900000)"
21,3,BK,Limited Free,ALTICEUSA,Prospect Park,SNACK BAR  SOUTH EASTCORNER,40.6507,-73.965843,"993,728.08","176,345.79",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,40,11226,314,177,"3,017,700",0,3050510001,889,"Brooklyn
(40.65070000000, -73.96584300000)"
22,3,BK,Limited Free,ALTICEUSA,Prospect Park,BEHIND BOAT HOUSE  BTWN M-118 & M-119,40.660469,-73.965168,"993,913.97","179,904.98",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",0,3011170001,890,"Brooklyn
(40.66046900000, -73.96516800000)"
23,3,BK,Limited Free,ALTICEUSA,Prospect Park,BEHIND BOAT HOUSE  BTWN M-205 & M-206,40.660842,-73.965121,"993,926.96","180,040.88",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",0,3011170001,891,"Brooklyn
(40.66084200000, -73.96512100000)"
24,3,BK,Limited Free,ALTICEUSA,Prospect Park,"NORTH BOAT HOUSE, ON THE LAWN ACROSS FROM M-200",40.661197,-73.965252,"993,890.56","180,170.20",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",0,3011170001,892,"Brooklyn
(40.66119700000, -73.96525200000)"
25,3,BK,Limited Free,ALTICEUSA,Prospect Park,Skate Rental Area,40.657452,-73.963991,"994,240.98","178,805.93",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",3391508,3011170001,893,"Brooklyn
(40.65745200000, -73.96399100000)"
26,3,BK,Limited Free,ALTICEUSA,Prospect Park,Skate Rental Area,40.657452,-73.963991,"994,240.98","178,805.93",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",3391508,3011170001,894,"Brooklyn
(40.65745200000, -73.96399100000)"
27,3,BK,Limited Free,ALTICEUSA,Prospect Park,Skate Rental Area,40.657452,-73.963991,"994,240.98","178,805.93",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",3391508,3011170001,895,"Brooklyn
(40.65745200000, -73.96399100000)"
28,3,BK,Limited Free,ALTICEUSA,Prospect Park,SKATEING RINK PARTY ROOM,40.657001,-73.963697,"994,322.62","178,641.65",Indoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",3391508,3011170001,896,"Brooklyn
(40.65700100000, -73.96369700000)"
29,3,BK,Limited Free,ALTICEUSA,Prospect Park,SKATEING RINK PARTY ROOM,40.657001,-73.963697,"994,322.62","178,641.65",Indoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",3391508,3011170001,897,"Brooklyn
(40.65700100000, -73.96369700000)"
30,3,BK,Limited Free,ALTICEUSA,Prospect Park,SKATEING RINK PARTY ROOM,40.657001,-73.963697,"994,322.62","178,641.65",Indoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",3391508,3011170001,898,"Brooklyn
(40.65700100000, -73.96369700000)"
31,3,BK,Limited Free,ALTICEUSA,Prospect Park,SKATING  RINK CAF├ë,40.657001,-73.963697,"994,322.62","178,641.65",Indoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK99,park-cemetery-etc-Brooklyn,39,11215,355,177,"3,017,700",3391508,3011170001,899,"Brooklyn
(40.65700100000, -73.96369700000)"
32,2,BX,Limited Free,ALTICEUSA,Ranaqua Park,BIRCHAll AV INDOOR LOBBY,40.84459,-73.8598,"1,023,040.44","247,015.36",Indoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX37,Van Nest-Morris Park-Westchester Square,13,10462,211,238,"2,023,800",0,2040420350,900,"Bronx
(40.84459000000, -73.85980000000)"
33,2,BX,Limited Free,ALTICEUSA,Ranaqua Park,BIRCHAll AV 6/P/E/O SAGAMORE ST,40.84459,-73.8598,"1,023,040.44","247,015.36",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX37,Van Nest-Morris Park-Westchester Square,13,10462,211,238,"2,023,800",0,2040420350,901,"Bronx
(40.84459000000, -73.85980000000)"
34,3,BK,Limited Free,ALTICEUSA,SARATOGA PARK,ON ROOF OF PARKS BLDG RIGHT SIDE,40.685043,-73.918933,"1,006,733.36","188,866.47",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK35,Stuyvesant Heights,41,11233,303,377,"3,037,700",0,3014940001,902,"Brooklyn
(40.68504300000, -73.91893300000)"
35,3,BK,Limited Free,ALTICEUSA,SARATOGA PARK,ON ROOF OF PARKS BLDG LEFT SIDE,40.685032,-73.91907,"1,006,695.37","188,862.43",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,Brooklyn,BK35,Stuyvesant Heights,41,11233,303,377,"3,037,700",3040059,3014940001,903,"Brooklyn
(40.68503200000, -73.91907000000)"
36,2,BX,Limited Free,ALTICEUSA,Seton Falls Park,SETON AV 5/P/S/O E 233RD ST,40.887637,-73.835951,"1,029,609.59","262,710.50",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,,Bronx,BX03,Eastchester-Edenwald-Baychester,12,10466,212,484,"2,048,400",0,0,904,"Bronx
(40.88763700000, -73.83595100000)"
