Row Labels	Bronx	Brooklyn	Manhattan	Queens	Staten Island	Grand Total
LinkNYC - Citybridge	2.99%	8.73%	31.39%	8.29%	0.96%	52.36%
SPECTRUM	0.00%	1.43%	3.22%	5.01%	1.73%	11.38%
Transit Wireless	0.70%	2.62%	4.81%	1.03%	0.00%	9.16%
ALTICEUSA	3.98%	3.88%	0.00%	0.00%	0.00%	7.86%
Harlem	0.00%	0.00%	4.25%	0.00%	0.00%	4.25%
Downtown Brooklyn	0.00%	3.32%	0.00%	0.00%	0.00%	3.32%
NYPL	1.16%	0.00%	1.43%	0.00%	0.40%	2.99%
QPL	0.00%	0.00%	0.00%	2.16%	0.00%	2.16%
BPL	0.00%	1.96%	0.00%	0.00%	0.00%	1.96%
Manhattan Down Alliance	0.00%	0.00%	1.19%	0.00%	0.00%	1.19%
Chelsea	0.00%	0.00%	1.00%	0.00%	0.00%	1.00%
NYCHA	0.00%	0.93%	0.00%	0.00%	0.00%	0.93%
AT&T	0.10%	0.20%	0.43%	0.10%	0.07%	0.90%
City Tech	0.00%	0.36%	0.00%	0.00%	0.00%	0.36%
Spot On Networks	0.00%	0.00%	0.00%	0.13%	0.00%	0.13%
Partner	0.00%	0.00%	0.07%	0.00%	0.00%	0.07%
Grand Total	8.93%	23.42%	47.78%	16.72%	3.15%	100.00%
